Date,Open,High,Low,Close,Adj Close,Volume
2012-12-31,6.470000,6.530000,6.442000,6.530000,6.292725,160500
2013-01-02,6.674000,6.730000,6.672000,6.720000,6.475821,362500
2013-01-03,6.734000,6.734000,6.660000,6.660000,6.418001,355000
2013-01-04,6.658000,6.742000,6.652000,6.694000,6.450765,101000
2013-01-07,6.590000,6.600000,6.556000,6.600000,6.360180,83000
2013-01-08,6.592000,6.592000,6.540000,6.570000,6.331272,49000
2013-01-09,6.550000,6.550000,6.506000,6.538000,6.300434,130500
2013-01-10,6.546000,6.604000,6.536000,6.604000,6.364036,148500
2013-01-11,6.568000,6.608000,6.568000,6.606000,6.365963,180500
2013-01-14,6.590000,6.594000,6.544000,6.578000,6.338981,181000
2013-01-15,6.684000,6.684000,6.610000,6.644000,6.402582,146000
2013-01-16,6.854000,6.920000,6.854000,6.920000,6.668553,124500
2013-01-17,6.942000,6.990000,6.912000,6.950000,6.697464,139000
2013-01-18,6.926000,7.020000,6.926000,7.008000,6.753356,134000
2013-01-22,6.968000,6.968000,6.938000,6.960000,6.707100,99000
2013-01-23,6.972000,6.978000,6.914000,6.940000,6.687827,105000
2013-01-24,6.982000,7.040000,6.982000,7.034000,6.778411,201000
2013-01-25,6.942000,6.942000,6.900000,6.906000,6.655062,135000
2013-01-28,6.938000,6.938000,6.872000,6.900000,6.649280,141000
2013-01-29,6.908000,6.940000,6.872000,6.938000,6.685899,195500
2013-01-30,6.992000,7.010000,6.962000,7.000000,6.745647,151000
2013-01-31,7.020000,7.042000,7.000000,7.022000,6.766847,172500
2013-02-01,6.970000,6.982000,6.930000,6.972000,6.718664,170500
2013-02-04,6.902000,6.932000,6.830000,6.838000,6.589532,97500
2013-02-05,6.818000,6.890000,6.818000,6.844000,6.595315,231000
2013-02-06,6.836000,6.878000,6.836000,6.876000,6.626152,196000
2013-02-07,6.980000,7.008000,6.950000,6.988000,6.734083,79000
2013-02-08,7.000000,7.026000,6.942000,7.004000,6.749502,81000
2013-02-11,7.020000,7.020000,6.956000,6.990000,6.736010,125000
2013-02-12,7.020000,7.028000,6.972000,6.994000,6.739865,78000
2013-02-13,6.996000,7.050000,6.996000,7.048000,6.791902,97500
2013-02-14,7.010000,7.054000,7.008000,7.048000,6.791902,170000
2013-02-15,7.100000,7.126000,7.084000,7.106000,6.847795,183500
2013-02-19,7.130000,7.130000,7.090000,7.090000,6.832376,115000
2013-02-20,7.094000,7.116000,7.034000,7.040000,6.784194,107500
2013-02-21,7.030000,7.030000,6.940000,6.986000,6.732156,213000
2013-02-22,6.788000,6.930000,6.788000,6.920000,6.668553,427500
2013-02-25,6.874000,6.878000,6.740000,6.800000,6.552914,136500
2013-02-26,6.862000,6.908000,6.850000,6.876000,6.626152,141000
2013-02-27,6.770000,6.910000,6.770000,6.890000,6.639644,98000
2013-02-28,6.866000,6.948000,6.866000,6.930000,6.678190,152000
2013-03-01,6.936000,6.950000,6.900000,6.934000,6.682045,164000
2013-03-04,7.030000,7.114000,7.026000,7.060000,6.803466,282500
2013-03-05,7.062000,7.180000,7.062000,7.160000,6.899833,139000
2013-03-06,7.240000,7.240000,7.170000,7.184000,6.922961,143500
2013-03-07,7.174000,7.250000,7.174000,7.230000,6.967289,130000
2013-03-08,7.302000,7.366000,7.302000,7.366000,7.098348,108000
2013-03-11,7.310000,7.310000,7.220000,7.242000,6.978853,143500
2013-03-12,7.128000,7.226000,7.128000,7.196000,6.934525,300000
2013-03-13,7.132000,7.212000,7.132000,7.180000,6.919106,162500
2013-03-14,7.104000,7.140000,7.104000,7.120000,6.861286,122000
2013-03-15,7.086000,7.096000,7.038000,7.048000,6.791902,132000
2013-03-18,6.832000,6.832000,6.756000,6.810000,6.562551,125500
2013-03-19,6.664000,6.702000,6.618000,6.620000,6.379454,316000
2013-03-20,6.760000,6.798000,6.756000,6.756000,6.510513,1222000
2013-03-21,6.512000,6.632000,6.480000,6.580000,6.340908,1782000
2013-03-22,6.400000,6.420000,6.340000,6.340000,6.109628,1110500
2013-03-25,6.214000,6.214000,6.064000,6.096000,5.874494,1136500
2013-03-26,6.210000,6.414000,6.210000,6.396000,6.163593,505500
2013-03-27,6.450000,6.450000,6.394000,6.432000,6.198286,125500
2013-03-28,6.408000,6.408000,6.338000,6.390000,6.157812,114000
2013-04-01,6.312000,6.394000,6.242000,6.264000,6.036390,426000
2013-04-02,6.310000,6.310000,6.232000,6.250000,6.022899,122000
2013-04-03,6.224000,6.300000,6.152000,6.158000,5.934242,211000
